"COÛT DU RISQUE (2.1)","","","MARGE D’INTÉRÊT (2.2)","","","RÉPARTITION DES CRÉANCES, ENGAGEMENTS ET DÉPRÉCIATIONS PAR BUCKETS SOUS IFRS 9 (3.2)","","",""
"","(En m","illiers de DH)","","(E","n milliers de DH)","","","",""
"","","","","","","","","","(En milliers de DH)"
"CONSOLIDE","30/06/2020
3","0/06/2019","","30/06/2020","30/06/2019","","","",""
"","","","","","","Créances et engagements","","Dépréciations",""
"Dépréciations sur actifs sains (Bucket 1 et Bucket 2)","-156 521","-5 848","Sur les actifs financiers au coût amorti","1 082 497","1 102 976","30/06/2020","","",""
"","","","","","","Bucket 1
Bucket 2
Bucket 3","Bucket 1","Bucket 2","Bucket 3"
"Bucket 1 : Pertes évaluées au montant des pertes de crédit attendu","es","","","","","","","",""
"","-47 637","3 573","Opérations avec les établissements de crédit","47 735","51 494","Actifs financiers à la juste valeur par capitaux propres
 3 474 657   
 -     
 -","19 664","-","-"
"pour les 12 mois à venir","","","","","","","","",""
"Instruments de dettes comptabilisés à la juste valeur par capita","ux","","Opérations internes au Crédit du Maroc","-","-","Prêts et créances sur les établissements de crédit
 -     
 -     
 -","-","-","-"
"","-14 698","-686","","","","","","",""
"propres recyclables","","","","","","Prêts et créances sur la clientèle
 -     
 -     
 -","-","-","-"
"","","","Opérations avec la clientèle","989 614","1 009 053","","","",""
"Instruments de dettes comptabilisés au coût amorti","-33 607","2 732","","","","Titres de dettes
 3 474 657   
 -     
 -","19 664","-","-"
"","","","Opérations de location-financement","45 147","42 429","","","",""
"Engagements par signature","668","1 527","","","","Actifs financiers au coût amorti
 43 165 517   
 5 083 588   
 4 159 031","132 097","444 239","3 454 458"
"Bucket 2 : Pertes évaluées au montant des pertes de crédit attendu","es","","Titres de dettes","-","-","Prêts et créances sur les établissements de crédit et banques centrales
 4 515 640   
 -     
 -","9 349","-","-"
"","-108 884","-9 421","","","","","","",""
"pour la durée de vie","","","","","","","","",""
"","","","Sur les actifs financiers à la juste valeur par capitaux propres","57 340","58 876","Prêts et créances sur la clientèle
 38 634 928   
 5 083 588   
 4 159 031","122 748","444 239","3 454 458"
"Instruments de dettes comptabilisés à la juste valeur par capita","ux","","","","","","","",""
"","-","-","","","","Titres de dettes
 14 948   
 -     
 -","-","-","-"
"propres recyclables","","","Opérations avec les établissements de crédit","-","-","","","",""
"","","","","","","Actifs financiers
 46 640 174   
 5 083 588   
 4 159 031","151 761","444 239","3 454 458"
"Instruments de dettes comptabilisés au coût amorti","-116 722","31 423","Opérations avec la clientèle","-","-","","","",""
"Engagements par signature","7 837","-40 844","","","","Engagements Hors bilan
 4 860 120   
 648 753   
 235 458","11 876","38 451","211 796"
"","","","Titres de dettes","57 340","58 876","","","",""
"Dépréciations sur actifs dépréciés (Bucket 3)","-","-","","","","","","",""
"","","","Intérêts courus et échus des instruments de couverture","-","-","","","",""
"Bucket 3 : Actifs dépréciés","-174 900","-2 462","","","","Créances et engagements","","Dépréciations",""
"","","","Autres intérêts et produits assimilés","5 364","4 332","31/12/2019","","",""
"Instruments de dettes comptabilisés à la juste valeur par capita","ux","","","","","Bucket 1
Bucket 2
Bucket 3","Bucket 1","Bucket 2","Bucket 3"
"","-","-","","","","","","",""
"propres recyclables","","","Produits d'intérêts","1 145 200","1 166 183","","","",""
"","","","","","","Actifs financiers à la juste valeur par capitaux propres
 3 734 665   
 -     
 -","4 962","-","-"
"Instruments de dettes comptabilisés au coût amorti","-171 173","167","","","","","","",""
"","","","Sur les passifs financiers au coût amorti","155 882","182 751","Prêts et créances sur les établissements de crédit
 -     
 -     
 -","-","-","-"
"Engagements par signature","-3 726","-2 629","","","","","","",""
"","","","","","","Prêts et créances sur la clientèle
 -     
 -     
 -","-","-","-"
"Autres actifs","-13 898","-48 136","Opérations avec les établissements de crédit","14 000","27 676","","","",""
"","","","","","","Titres de dettes
 3 734 665   
 -     
 -","4 962","-","-"
"Risques et charges","-13 899","-9 363","Opérations internes au Crédit du Maroc","-","-","","","",""
"","","","","","","Actifs financiers au coût amorti
 46 404 025   
 2 810 882   
 3 783 868","99 227","328 276","3 282 895"
"Dotations nettes de reprises des dépréciations et provisions","-359 218","-65 809","Opérations avec la clientèle","141 882","155 075","Prêts et créances sur les établissements de crédit et banques centrales
 5 074 833   
 -     
 -","5 935","-","-"
"Plus ou moins-values de cessions réalisées sur instruments de dett","es","","","","","Prêts et créances sur la clientèle
 41 308 759   
 2 810 882   
 3 783 868","93 291","328 276","3 282 895"
"","-","-","Opérations de location-financement","-","-","","","",""
"comptabilisés en capitaux propres recyclables dépréciés","","","","","","","","",""
"","","","","","","Titres de dettes
 20 433   
 -     
 -","-","-","-"
"Gains ou pertes réalisés sur instruments de dettes comptabilisés a","u","","Dettes représentées par un titre","-","-","","","",""
"","-","-","","","","Actifs financiers
 50 138 690   
 2 810 882   
 3 783 868","104 188","328 276","3 282 895"
"coût amorti dépréciés","","","","","","","","",""
"","","","Dettes subordonnées","-","-","","","",""
"Pertes sur prêts et créances irrécouvrables","-83 492","-98 871","","","","Engagements Hors bilan
 3 447 262   
 220 123   
 239 053","12 544","46 289","208 070"
"","","","Intérêts courus et échus des instruments de couverture","-","-","","","",""
"Récupérations sur prêts et créances","4 828","21 207","","","","","","",""
"comptabilisés au coût amorti","4 828","21 207","Autres intérêts et charges assimilées","65 602","76 565","","","",""
"","","","","","","PRÊTS ET CRÉANCES SUR LES ÉTABLISSEMENTS DE CRÉDIT ET","","",""
"comptabilisés en capitaux propres recyclables","-","-","Charges d'intérêts","221 484","259 317","","","",""
"","","","","","","ASSIMILÉS AU COÛT AMORTI (3.2)","","",""
